Frame,Pressure,Index,Smooth CL X,Smooth CL Y,Smooth CL Z,Radius,Length,Alpha (inside),Alpha (midline),Alpha (outside),Beta (inside),Beta (midline),Beta (outside),Curvature
0,0.0,0,0.0,0.0,0.0,4.999999999361171,115.18465439813812,30.254166861029212,30.527244279493765,30.85872185652112,-30.8587218565211,-30.52724427949375,-30.25416686102917,0.03332106104749965
0,0.0,1,0.022096225419374987,0.0,1.151634585145855,4.9999999622217635,115.18465439813812,29.665964029630196,29.938541256207664,30.207411196534125,-30.20741119653411,-29.938541256207664,-29.665964029630167,0.033321057653379796
0,0.0,2,0.08838489266676758,0.0,2.301572093655084,4.999999994652368,115.18465439813812,29.672308743995043,29.944405472028695,30.201185796646918,-30.201185796646918,-29.944405472028695,-29.672308743995043,0.033327190404055074
0,0.0,3,0.19876828116460185,0.0,3.44811732539502,4.99999992782089,115.18465439813812,29.683685989482033,29.949603843174955,30.19063383230815,-30.190633832308137,-29.949603843174955,-29.683685989482022,0.03332719040405512
0,0.0,4,0.35308366734447566,0.0,4.589580081016072,4.999999989823097,115.18465439813812,29.678397198185635,29.952143159758418,30.20141554166424,-30.20141554166424,-29.952143159758418,-29.678397198185635,0.03332719040405423
0,0.0,5,0.5511035645288995,0.0,5.724277653588131,5.000000035139898,115.18465439813812,29.669680781522654,29.958187151219178,30.207723916059177,-30.207723916059177,-29.958187151219178,-29.669680781522654,0.03332719040405503
0,0.0,6,0.7925360582847084,0.0,6.850537309191889,5.000000077603459,115.18465439813812,29.665052398547388,29.96426046439556,30.208782766315416,-30.208782766315416,-29.96426046439556,-29.665052398547388,0.03332719040405521
0,0.0,7,1.0770252367537214,0.0,7.966698752808305,5.000000029618369,115.18465439813812,29.664859818952642,29.96994722445322,30.204922762311206,-30.204922762311206,-29.96994722445322,-29.664859818952642,0.03332719040405485
0,0.0,8,1.404151715326324,0.0,9.071116575870994,5.000000005109623,115.18465439813812,29.66940738275521,29.974837368204817,30.196540059402803,-30.196540059402803,-29.974837368204817,-29.66940738275521,0.0333271904040545
0,0.0,9,1.773433254884507,0.0,10.162162681873571,4.999999963722091,115.18465439813812,29.678918838221495,29.96953109166652,30.200328616922043,-30.200328616922043,-29.96953109166652,-29.678918838221495,0.03332719040405464
0,0.0,10,2.184325472702928,0.0,11.238228686456058,5.000000006339876,115.18465439813812,29.690507773772282,29.963433966438405,30.207267742306975,-30.20726774230699,-29.963433966438373,-29.690507773772282,0.03332719040405495
0,0.0,11,2.6362226449600774,0.0,12.29772828843231,4.999999989636392,115.18465439813812,29.678144793730276,29.96973769423262,30.208913321366268,-30.208913321366268,-29.96973769423262,-29.678144793730276,0.03332719040405437
0,0.0,12,3.1284585996764323,0.0,13.339099608263199,5.000000103836111,115.18465439813812,29.66952093256899,29.975831361461523,30.2056161637738,-30.2056161637738,-29.975831361461523,-29.66952093256899,0.03332719040405549
0,0.0,13,3.660307698763355,0.0,14.360807490528126,4.999999934979913,115.18465439813812,29.664998643130044,29.981278641122305,30.19773482096938,-30.19773482096938,-29.981278641122305,-29.664998643130044,0.03332719040405503
0,0.0,14,4.230985907734915,0.0,15.361345767000778,5.000000033555831,115.18465439813812,29.664914598171627,29.985691348532296,30.198732904534115,-30.198732904534115,-29.985691348532296,-29.664914598171627,0.03332719040405418
0,0.0,15,4.83965195150581,0.0,16.339239476992887,5.000000032671974,115.18465439813812,29.66957180628634,29.966224134915315,30.206525771056015,-30.206525771056015,-29.966224134915315,-29.66957180628634,0.033327190404055025
0,0.0,16,5.485408554571496,0.0,17.29304704169287,4.999999944137854,115.18465439813812,29.679202220721685,29.948756979958144,30.20901597894846,-30.20901597894846,-29.948756979958144,-29.679202220721685,0.033327190404055525
0,0.0,17,6.167303763742264,0.0,18.221362389294,5.000000004613938,115.18465439813812,29.689386106460482,29.954728588312683,30.206465620438774,-30.206465620438774,-29.954728588312683,-29.689386106460482,0.033327190404055275
0,0.0,18,6.884332351481402,0.0,19.122817027779295,5.000000102886159,115.18465439813812,29.677321847820586,29.96074616111907,30.19926930322343,-30.19926930322343,-29.96074616111907,-29.677321847820586,0.033327190404053526
0,0.0,19,7.635437297778639,0.0,19.99608206230758,5.00000011128952,115.18465439813812,29.668999377909905,29.966446543541323,30.191149832869954,-30.191149832869954,-29.966446543541323,-29.668999377909905,0.03332719040405395
0,0.0,20,8.419511348374336,0.0,20.839870154226585,5.0000000749998,115.18465439813812,29.664806452318725,29.971352851486543,30.202349034732972,-30.202349034732972,-29.971352851486543,-29.664806452318725,0.03332719040405578
0,0.0,21,9.235398647037385,0.0,21.652937418825367,4.999999969194778,115.18465439813812,29.665110963680153,29.94626833247044,30.20807609194923,-30.20807609194923,-29.94626833247044,-29.665110963680153,0.033327190404055185
0,0.0,22,10.081896439490542,0.0,22.434085259028347,4.999999829059176,115.18465439813812,29.67016843809658,29.917054180714626,30.208609986700157,-30.208609986700157,-29.917054180714626,-29.67016843809658,0.0333271904040544
0,0.0,23,10.957756846471277,0.0,23.18216213232774,4.999999816799308,115.18465439813812,29.680193487681013,29.92113010882272,30.20423385247659,-30.20423385247659,-29.92113010882272,-29.680193487681013,0.033327190404053804
0,0.0,24,11.86168870331444,0.0,23.896065248349732,4.9999999803553905,115.18465439813812,29.67988897033807,29.92680326267774,30.195384034506464,-30.195384034506464,-29.92680326267774,-29.67988897033807,0.03332719040405514
